Date (Year Month),Page path and screen class,Session source,Views,Total users,New users,Sessions,Engaged sessions
Jan 2026,/collections/dtf-printer,chatgpt.com,35,15,4,19,13
Aug 2025,/blogs/news/best-heat-press-machines-for-all-your-needs-in-2025,chatgpt.com,27,27,27,27,0
Mar 2026,/,chatgpt.com,24,15,10,20,12
Dec 2025,/,chatgpt.com,23,17,12,17,6
Jul 2025,/,chatgpt.com,19,10,6,11,7
Apr 2026,/products/uv-cylindrical-printer-4-ricoh-gh220-printheads-bottles-tubes,chatgpt.com,18,14,13,16,4
Jan 2026,/,chatgpt.com,17,12,8,12,7
Apr 2026,/blogs/blog/how-to-print-t-shirts-with-a-dtf-printer,chatgpt.com,16,15,15,15,1
Jan 2026,/products/a3-uv-flatbed,chatgpt.com,16,15,12,16,5
Feb 2026,/products/16-5-inch-all-one-dtf-printer-powder-shaker,chatgpt.com,15,13,9,14,7
Sep 2025,/,chatgpt.com,15,12,8,15,9
Feb 2026,/,chatgpt.com,14,14,9,14,6
Jan 2026,/products/dtfprinterusa-xf-450pro-a2-all-in-one-dtf-printer-dual-i1600-heads-16-print-width,chatgpt.com,14,11,9,13,2
Feb 2026,/products/16x24-hydraulic-heat-press-machine-dual-platens,chatgpt.com,13,5,3,7,1
Dec 2025,/collections/dtf-printers-and-dryers,chatgpt.com,12,4,0,5,5
Feb 2026,/products/24-inch-dtf-printer-4-epson-i3200-printheads,chatgpt.com,12,13,9,13,4
Jul 2025,/collections/dtf-inks-t-shirts-hats,chatgpt.com,11,5,0,7,5
Jan 2026,/products/dtf-printer-usa-dpu24-4-bundle-with-dryer,chatgpt.com,11,3,1,4,3
Jan 2026,/products/24-inch-quad-head-epson-i3200-fluorescent-dtf-printer-for-specialty-apparel,chatgpt.com,11,8,3,10,6
Jan 2026,/products/dtf-dpu24-5-head-printer-24,chatgpt.com,11,8,5,8,4
Jan 2026,/products/dpu24-4-head-dtf-printer-24,chatgpt.com,11,5,2,7,3
