"Page","Impressions","Clicks","CTR","Avg. Position"
"https://dtfprinterusa.com/","342","43","12.57%","3.6520380116959066"
"https://dtfprinterusa.com/blogs/blog/uv-printing","126","1","0.79%","5.698426190476191"
"https://dtfprinterusa.com/collections/dtf-printer","82","1","1.22%","9.134153658536585"
"https://dtfprinterusa.com/collections/replacement-and-spare-parts","74","6","8.11%","3.959462162162162"
"https://dtfprinterusa.com/blogs/blog/dtf-printer-for-beginners","63","0","0%","5.4603"
"https://dtfprinterusa.com/collections/uv-dtf-printer","54","4","7.41%","7.666662962962963"
"https://dtfprinterusa.com/blogs/blog/dtf-printer-maintenance-checklist","50","0","0%","5.539993999999999"
"https://dtfprinterusa.com/blogs/blog/dtf-machine-printing-process-guide","48","0","0%","5.937489583333334"
"https://dtfprinterusa.com/blogs/blog/dtf-ink-brands","46","0","0%","7.326060869565216"
"https://dtfprinterusa.com/collections/dtf-film","34","1","2.94%","6.823517647058823"
"https://dtfprinterusa.com/blogs/blog/epson-dtf-printer","31","0","0%","5.7096709677419355"
"https://dtfprinterusa.com/blogs/blog/how-to-print-t-shirts-with-a-dtf-printer","28","0","0%","6.285714285714286"
"https://dtfprinterusa.com/blogs/blog/anatomy-of-a-dtf-printer","27","2","7.41%","2.4814777777777777"
"https://dtfprinterusa.com/blogs/blog/real-cost-of-dtf-printer-guide","20","2","10%","2.9999949999999997"
"https://dtfprinterusa.com/blogs/blog/dtf-vs-sublimation","17","1","5.88%","8.4706"
"https://dtfprinterusa.com/blogs/blog/best-tshirts-for-dtf-printing-guide","16","0","0%","3.250025"
"https://dtfprinterusa.com/blogs/blog/dtf-powder","16","0","0%","5.4375"
"https://dtfprinterusa.com/collections/dtf-transfer-powders","16","0","0%","6.5625"
"https://dtfprinterusa.com/collections/replacement-and-spare-parts-for-dryer","9","1","11.11%","2.9999777777777776"
"https://dtfprinterusa.com/blogs/blog/dtf-powder-shaker-pros-cons","8","0","0%","6.625"
"https://dtfprinterusa.com/collections/uv-printers","8","1","12.5%","4.1249875"
"https://dtfprinterusa.com/blogs/blog/how-to-print-dtf-on-black-t-shirts","7","0","0%","5.142857142857143"
"https://dtfprinterusa.com/products/dtf-moisturizing-liquid","7","1","14.290000000000001%","2.857142857142857"
"https://dtfprinterusa.com/blogs/blog/dtf-printing-speed-resolution-guide","6","0","0%","6.666666666666667"
"https://dtfprinterusa.com/pages/about-dtf-printer-usa","6","3","50%","4.666666666666667"
"https://dtfprinterusa.com/collections/embroidery-machines","6","0","0%","1"
