query,nov25_imp,nov25_clicks,nov25_pos,dec25_imp,dec25_clicks,dec25_pos,jan26_imp,jan26_clicks,jan26_pos,feb26_imp,feb26_clicks,feb26_pos,mar26_imp,mar26_clicks,mar26_pos,apr26_imp,apr26_clicks,apr26_pos
dtf printer,5278,25,12.36,4891,5,8.27,5284,18,15.33,10012,29,10.91,11418,36,10.88,3103,10,13.97
dtf printers for sale,727,5,13.53,631,3,16.61,419,2,22.72,737,4,13.77,1511,10,11.33,1295,7,10.92
dtf printers,308,3,20.92,598,4,19.84,698,3,21.41,726,3,16.37,1167,14,16.07,515,2,19.47
dtf printer usa,448,54,1.01,357,33,5.85,344,26,7.11,278,21,6.51,377,40,5.6,404,38,2.58
dtf machine,59,0,30.76,109,0,41.33,195,0,29.46,360,0,15.19,622,2,13.54,195,1,15.11
best dtf printer for small business,113,1,17.7,101,1,24.17,188,1,16.07,431,1,7.11,195,0,17.89,222,1,15.39
dtf printer for beginners,131,1,5.82,127,0,16.7,188,0,16.51,241,0,11.72,281,1,7.3,108,0,17.73
dtf printer ink,110,0,23.74,230,0,15.61,232,0,13.94,99,0,29.86,247,0,24.45,123,0,26.36
dtf printer near me,106,1,20.66,138,1,32.4,141,0,35.67,148,1,20.59,102,0,14.44,65,0,20.4
dtf transfer printer,56,0,50.77,293,0,27.96,90,0,57.19,49,1,57.67,112,0,45.28,95,0,35.98
best heat press machine,75,0,61.41,162,0,68.16,142,0,66.06,104,1,55.45,135,0,26.95,68,1,39.59
dtf printer nearby,156,1,13.44,68,0,23.66,90,0,23.28,96,0,17.29,151,0,11.09,103,0,18.05
dtf powder,23,0,33.61,49,0,58.57,94,0,50.65,84,0,49.04,284,1,18.85,60,0,45.78
dtf ink,44,0,54.45,83,0,59.81,139,0,67.28,84,1,56.08,152,2,50.97,80,1,44.69
dtf printers for sale near me,159,1,9.93,78,1,15.12,67,0,18.24,68,1,15.44,91,0,15.48,60,0,13.88
dtf machine printer,18,0,59.67,30,0,48.2,47,0,54.21,89,1,22.8,202,0,18.59,77,1,23.56
direct to film printer,50,0,63.0,115,0,67.1,76,0,69.99,31,0,63.42,74,0,51.86,54,0,56.35
dtf printers near me,21,0,19.95,47,0,24.26,107,0,16.71,85,1,11.65,83,0,8.19,56,0,11.89
dtf transfer film,61,0,44.77,105,0,50.13,39,0,49.1,19,0,61.95,79,1,52.18,55,0,48.29
dtf printer for sale near me,58,2,16.62,47,0,27.13,42,0,22.64,51,0,17.59,60,0,15.53,59,0,12.15
dtf transfer paper,11,0,72.18,48,0,73.29,28,0,66.25,4,0,72.5,58,0,52.03,58,0,51.81
dtf printer price,22,0,47.32,27,0,63.52,25,0,71.28,16,0,40.56,76,0,16.13,27,0,10.07
transfer powder,9,0,31.11,37,0,53.76,39,0,44.64,38,0,26.63,41,0,22.63,10,0,30.7
dtf transfer powder,4,0,68.25,18,0,67.56,32,0,61.28,45,0,42.93,51,0,29.55,23,0,38.61
best dtf powder,5,0,75.8,18,0,80.72,23,0,68.13,18,0,35.78,42,0,29.26,6,0,35.33
heat press machine,7,0,1.86,4,0,4.0,0,0,,71,0,1.32,7,0,12.71,15,0,3.47
best dtf ink,4,0,60.0,23,0,68.39,26,0,62.27,9,0,42.78,23,0,26.83,0,0,
a3 dtf printer,6,0,38.83,10,0,53.4,18,0,55.83,1,0,92.0,25,0,45.36,12,0,38.75
dtf film and powder,0,0,,11,0,57.0,11,0,56.55,9,0,54.78,23,0,28.91,6,0,54.33
