month,channel,orders,conversion_rate
Jan 2026,baidu,0,0.0
Jan 2026,bing,3,3.3
Jan 2026,duckduckgo,0,0.0
Jan 2026,google,41,1.27
Jan 2026,yahoo!,1,4.17
Jan 2026,yandex,0,0.0
Feb 2026,bing,8,10.26
Feb 2026,duckduckgo,0,0.0
Feb 2026,google,36,2.12
Feb 2026,technorati,0,0.0
Feb 2026,yahoo!,0,0.0
Feb 2026,yandex,0,0.0
Feb 2026,yellowpages,0,0.0
Mar 2026,baidu,0,0.0
Mar 2026,bing,6,8.57
Mar 2026,duckduckgo,0,0.0
Mar 2026,ecosia,0,0.0
Mar 2026,google,80,3.19
Mar 2026,yahoo!,2,6.9
Mar 2026,yahoo! images,0,0.0
Mar 2026,yandex,0,0.0
Apr 2026,baidu,0,0.0
Apr 2026,bing,4,0.24
Apr 2026,duckduckgo,0,0.0
Apr 2026,google,80,2.39
Apr 2026,yahoo!,2,0.95
Apr 2026,yahoo! images,0,0.0
Apr 2026,yandex,0,0.0
